"participant","adjP10","adjP20","adjP30","adjPDiff","condition","gender","index","change","subgroup","orig","BIS"
42,60,56,50,-10,"expansive","female",62,-16.6666666666667,"expansiveLow",55.3333333333333,"low"
74,35.8333333333333,51.1428571428571,47,11.1666666666667,"constrictive","male",61,31.1627906976744,"constrictiveLow",44.6587301587302,"low"
75,25.1428571428571,27.1111111111111,28.5,3.35714285714286,"expansive","male",64,13.3522727272727,"expansiveHigh",26.9179894179894,"high"
76,50.6666666666667,53.1428571428571,44,-6.66666666666666,"constrictive","male",62,-13.1578947368421,"constrictiveLow",49.2698412698413,"low"
77,19,32.5555555555556,31.625,12.625,"expansive","male",53,66.4473684210526,"expansiveLow",27.7268518518519,"low"
78,22,35.4444444444444,53.2,31.2,"constrictive","male",76,141.818181818182,"constrictiveHigh",36.8814814814815,"high"
79,13.3333333333333,22,25.25,11.9166666666667,"expansive","male",55,89.375,"expansiveLow",20.1944444444444,"low"
80,13.6,22.2222222222222,21.25,7.65,"constrictive","male",51,56.25,"constrictiveLow",19.0240740740741,"low"
81,56.6,54.6,53.2,-3.4,"expansive","male",61,-6.00706713780918,"expansiveLow",54.8,"low"
82,20.375,46.625,61.25,40.875,"constrictive","male",54,200.613496932515,"constrictiveLow",42.75,"low"
83,61.6666666666667,70.5,72.6,10.9333333333333,"expansive","male",50,17.7297297297297,"expansiveLow",68.2555555555555,"low"
84,37.1428571428571,42.875,44.1666666666667,7.02380952380952,"constrictive","male",62,18.9102564102564,"constrictiveLow",41.3948412698413,"low"
85,38.7142857142857,46.1428571428571,45.8333333333333,7.11904761904762,"expansive","male",71,18.3886838868389,"expansiveHigh",43.5634920634921,"high"
86,21.75,27.1111111111111,30.125,8.375,"constrictive","male",74,38.5057471264368,"constrictiveHigh",26.3287037037037,"high"
87,17.1428571428571,24.3333333333333,39.3333333333333,22.1904761904762,"expansive","male",72,129.444444444444,"expansiveHigh",26.9365079365079,"high"
88,38.8571428571429,40.625,36,-2.85714285714285,"constrictive","male",50,-7.35294117647058,"constrictiveLow",38.4940476190476,"low"
