time_taken,start_code,code,condition,believe_in_effectiveness,comprehension,previous_study,age,gender,education,test_question,test_question2,comments,cheat_detection,time_page_1,time_page_2,belief_in_medicine,belief_in_science
86,afd45,4cece3,graph,7,15,no,38,male,college_or_more,common_cold,20,,,24149,29068,7,6
86,afce5,4cea43,graph,6,19,no,37,female,high-school,common_cold,20,,,14288,38948,3,9
93,afcb5,4ce8f3,graph,7,11,no,29,female,some_college,common_cold,20,,,16553,36301,1,9
68,afd33,4cec65,graph,2,16,no,33,male,college_or_more,common_cold,20,n/a,,16500,27944,2,8
189,affcf,4cfea9,no_graph,6,2,no,61,female,college_or_more,common_cold,20,There are many varieties of common cold viruses. The effective drug would have to be a general anti-virus it would seem.,,31145,73450,5,9
247,afe8f,4cf5e9,graph,7,15,no,26,male,some_college,common_cold,20,,,45633,136492,7,8
67,afcd9,4ce9ef,graph,8,17,no,30,male,college_or_more,common_cold,20,,,11728,21753,8,9
102,b00d7,4d05e1,no_graph,8,8,no,25,male,some_college,common_cold,20,,,24160,41262,2,8
148,afd7d,4cee6b,graph,7,13,no,49,male,some_college,common_cold,20,,,36050,40853,5,8
97,afd2d,4cec3b,graph,7,12,no,31,female,college_or_more,common_cold,20,,,24871,29999,6,8
188,afd17,4ceba1,graph,8,15,unsure,31,female,some_college,common_cold,20,n/a,,42290,96889,8,9
57,afe0d,4cf25b,graph,6,16,no,34,female,college_or_more,common_cold,20,,,8416,27219,7,9
96,b0065,4d02c3,no_graph,7,14,no,23,male,college_or_more,common_cold,20,,,8996,66005,1,9
96,afdad,4cefbb,graph,8,17,no,22,male,some_college,common_cold,20,,,14058,19531,8,9
